uniq_id,manufacturer,price,number_of_reviews,product_name_new,category,subcategory,Rating
eac7efa5dbd3d667f26eb3d3ab504464,Hornby,3.42,15,Hornby 2014 Cat,Hobbies , Model Trains & Railway Sets ,4.9
348f344247b0c1a935b1223072ef9d8a,ccf,9.99,17,CLASSIC TOY TRA,Hobbies , Model Trains & Railway Sets ,3.9
e33a9adeed5f36840ccc227db4682a36,Hornby,32.19,3,Hornby 00 Gauge,Hobbies , Model Trains & Railway Sets ,4.7
87bbb472ef9d90dcef140a551665c929,Hornby,69.93,36,Hornby Santa's ,Hobbies , Model Trains & Railway Sets ,4.3
03a35de3f7af9814978e6de645cb8ffa,Hornby,119.5,3,Hornby 00 Gauge,Hobbies , Model Trains & Railway Sets ,5.0
8a9af1fc5f227191c00447b0c44f7700,Gaugemaster,5.95,5,Gaugemaster HBY,Hobbies , Model Trains & Railway Sets ,4.8
72c57da443c042d8d8bc88f353a5b016,Fisher-Price,19.99,3,Thomas and Frie,Hobbies , Model Trains & Railway Sets ,5.0
9cfcb02573dc2bb4f04d8660dec33e84,Hornby,82.31,19,Hornby Gloucest,Hobbies , Model Trains & Railway Sets ,4.2
79e16a6819d997b7053a808a79d341b8,Hornby,69.99,17,Hornby R3086 Ra,Hobbies , Model Trains & Railway Sets ,4.8
fe0b2ec319cde46d25c34eda5bdc6089,Hornby,79.95,53,Hornby R1138 GW,Hobbies , Model Trains & Railway Sets ,4.6
1540ee871c7e224e2dad5c1e0a1b6ec5,RAILWAY - BACHMANN,135.0,3,WD Austerity 2-,Hobbies , Model Trains & Railway Sets ,4.7
58161fc326cb43d81140ae361911035f,Hornby,28.99,5,Hornby Digital ,Hobbies , Model Trains & Railway Sets ,4.6
a904e69ec08ecbfde95106cc092c4983,Corgi,59.99,4,Harry Potter - ,Hobbies , Model Trains & Railway Sets ,4.8
995777a914a1edb958a0da25b145643b,Gaugemaster,39.03,6,Gaugemaster Sin,Hobbies , Model Trains & Railway Sets ,4.8
590ad6c0f9bdbbac7887ec4e36eb08a0,Hornby,98.5,6,Hornby Railroad,Hobbies , Model Trains & Railway Sets ,4.7
835e3add1236908071ebadf0b29776db,Train Tech,35.0,3,Train Tech DS6 ,Hobbies , Model Trains & Railway Sets ,4.3
5152452656955a9bf425a11ba221f016,Hornby,30.99,38,Hornby R3064 Ra,Hobbies , Model Trains & Railway Sets ,4.6
